Original Product Code,SAP Product Code
AP01665,4009197
AP01665S,4009198
AP01680,4009199
AP01680S,4009200
AP017100100,4009201
AP0171515,4009202
AP0172020,4009203
AP0172525,4009204
AP0173232,4009205
AP0174040,4009206
AP0175050,4009207
AP0176565,4009208
AP0178075,4009209
AP018100100,4009210
AP0181515,4008983
AP0182020,4008984
AP0182525,4008985
AP0183232,4008986
AP0184040,4008987
AP0185050,4008988
AP0188075,4008989
AP019100100,4008990
AP01910050,4008991
AP0191515,4008992
AP0192015,4008993
AP0192020,4008994
AP0192520,4008995
AP0192525,4008996
AP0193225,4008997
AP0193232,4008998
AP0194032,4008999
AP0194040,4009000
AP0195020,4009001
AP0195040,4009002
AP0195050,4009003
AP0196565,4009004
AP0198050,4009005
AP0198080,4009006
AP0211515,4009007
AP0212020,4009008
AP0212525,4009009
AP02215,4009010
AP02220,4009011
AP02225,4009012
AP02232,4009013
AP02240,4009014
AP02250,4009015
AP023100,4009016
AP02315,4009017
AP02320,4009018
AP02325,4009019
AP0242015,4009020
AP0242520,4009021
AP05315,4009022
AP05320,4009023
AQ00101,4009024
AQ002,4009025
AR18075,4009026
AT00340,4009027
AT00350,4009028
AT00940,4009029
AT00950,4009030
AW00215045,4009031
AW00215090,4009032
AW0029015,4009033
AW0029022,4009034
AW0029045,4009035
AW0029090,4009036
AW0039045,4009037
AW02415045,4009038
AW02415090,4009039
AW0249045,4009040
AW0249090,4009041
AW025151045,4009042
AW0405,4009043
AW05690,4009044
AW05790,4009045
AW05890,4009046
AW05890C,4009047
AW07390100,4009048
AW10590,4009049
AW10990,4009050
AW155150,4009051
AW15590,4009052
AW16190100V,4009053
AW72890,4009054
B0803016,4009055
B0803091,4009056
B1210140,4009057
B1210147,4009058
B1210148,4009059
B1210150,4009060
B1210154,4009061
B1210156,4009063
B1210160,4009064
B1210165,4009065
B1210168,4009066
B1210171,4009067
B1210175,4009068
B1210179,4009069
B1210180,4009070
B1210181,4009071
B1210182,4009072
B1210183,4009073
B1210184,4009074
B1210185,4009075
B1210187,4009076
B1210188,4009077
B1210325,4009078
B1210330,4009079
B1210335,4009080
B1210340,4009081
B1210345,4009082
B1210350,4009083
B1210355,4009084
B1565005,4009085
B1565010,4009086
BK080001,4009087
BK080015,4009088
BK080020,4009089
BK080025,4009090
BK080029,4009091
